PARTIES_CODE,PARTIES_NAME,PARTIES_ALIAS
002,"CITIZEN'S ACTION PARTY",AKBAYAN
003,AKSYON DEMOKRATIKO,AKSYON
009,BAGUMBAYAN VOLUNTEERS FOR A NEW PHILIPPINES,BAGUMBAYAN
012,BIGKIS PINOY MOVEMENT,BIGKIS
015,CENTRIST DEMOCRATIC PARTY OF THE PHILS.,CDP
016,DEMOCRATIC PARTY OF THE PHILIPPINES,DPP
017,FILIPINO FAMILY PARTY,FFP
021,KATIPUNAN NG DEMOKRATIKONG PILIPINO(KDP),KDP
022,KATIPUNAN NG KAMALAYANG  KAYUMANGGI,KATIPUNAN
024,KILUSANG BAGONG LIPUNAN,KBL
025,LABAN NG DEMOKRATIKONG PILIPINO,LDP
027,LAKAS CHRISTIAN  MUSLIM DEMOCRATS,LAKAS CMD
028,LIBERAL PARTY,LP
029,NACIONALISTA PARTY,NP
031,NATIONAL UNITY PARTY,NUP
032,"NATIONALIST PEOPLE'S COALITION",NPC
034,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,PDP LABAN
035,PARTIDO DEMOKRATIKO SOSYALISTA NG PILIPINAS,PDSP
036,PARTIDO LAKAS NG MASA,PLM
039,"PEOPLE'S REFORM PARTY",PRP
040,PHILIPPINE GREEN REPUBLICAN PARTY,PGRP
041,PWERSA NG MASANG  PILIPINO,PMP
045,UNITED NATIONALIST ALLIANCE,UNA
046,WORKERS AND PEASANTS PARTY,WPP
048,SERBISYO SA BAYAN PARTY,SBP
053,HUGPONG NG PAGBABAGO PARTY,HNP
056,ABYAN ILONGGO,AI
057,"AGGRUPATION OF PARTIES FOR PROSPERITY, INC.",APP
064,BICOL SARO,BICOL SARO
070,KABALIKAT NG BAYAN SA KAUNLARAN,KABAKA
073,OMPIA PARTY,OMPIA PARTY
074,PADAYON PILIPINO,PADAYON PILIPINO
076,"PEOPLE'S CONSULTATIVE PARTY",MUSHAWARA
080,TINGOG SINIRANGAN,TINGOG SINIRANGAN
081,UGYON,UGYON
087,ACHIEVEMENT WITH INTEGRITY MOVEMENT,AIM PARTY
088,ADELANTE ZAMBOANGA PARTY,AZaP
090,ARANGKADA SAN JOSEÑO,ARANGKADA SAN JOSEÑO
091,ASENSO MANILEÑO MOVEMENT,AMM
093,BAROG ALANG SA KAUSWAGAN UG DEMOKRASYA,BAKUD
094,BILEG TI  ILOKANO,BILEG
097,BUKIDNON PAGLAUM PARTY,BPP
109,HUGPONG SA TAWONG LUNGSOD,HUGPONG
110,HUGPONG SURIGAO SUR,HUGPONG SURIGAO SUR
111,INDEPENDENT NACIONALISTA AND ALLIES,INA
112,KALAPIAN NG MGA KAIBIGAN NG KAUNLARAN - BAYAN NG HAGONOY,LAPIANG K
113,KAPANALIG AT KAMBILAN NING MEMALEN PAMAPANGA,KAMBILAN
125,LAPIAN NG PAG-ASA,LAPIAN
126,LAPIANG BAGONG LAKAS NG NUEVA ECIJA,BALANE
127,LINGAP LUGUD CAPANGPANGAN PARTY,LINGAP LUGUD CAPANGPANGAN PARTY
130,MAGUINDANAO REFORM PARTY,MRP
133,MINDORO SANDUGO PARA  SA KAUNLARAN,PARTIDO SANDUGO
137,ONE CEBU,ONE CEBU
138,ONE ILIGAN PARTY,ONE ILIGAN PARTY
139,PADAJON SURIGAO PARTY,PADAJON SURIGAO PARTY
144,PARTIDO ABE KAPAMPANGAN,PAK
152,PARTIDO NAVOTEÑO,PARTIDO NAVOTEÑO
154,PARTIDO NG MASANG BATANGUEÑO,PAMBATANGUEÑO
157,PARTIDONG PAGBABAGO NG PALAWAN,PPP
159,"PEOPLE'S  CHAMP MOVEMENT",PCM
160,"PEOPLE'S EMPOWERMENT  SA LUNGSOD AGHAM NG MUÑOZ","PEOPLE'S ELA"
167,SAMAHANG NOVO ECIJANO NG NUEVA ECIJA,SAMAHNA
175,UNA ANG MAKATI,UAM
176,UNANG SIGAW,PARTIDO NG PAGBABAGO
178,UNITED NEGROS ALLIANCE,UNA
179,LGBTQ PARTY,LGBT
180,INDEPENDENT,IND
181,PEDERALISMO NG DUGONG DAKILANG SAMAHAN,PDDS
182,PARTIDO FEDERAL NG PILIPINAS,PFP
183,LABOR PARTY PHILIPPINES,WPP
184,UMPUNGAN NG MAPAGMALASAKIT PARTY,UMP
185,MAKABAYANG KOALISYON NG MAMAMAYAN,MKBYN
186,MALAYANG KILUSAN NG MAMAMAYANG ZAMBALEÑO (MAKIMAZA),MKMAZA
187,PARTIDO PROSPERIDAD Y AMOR PARA NA ZAMBOANGA,PAZ
188,KUSOG BIKOLANDIA,KB
9900110001,76 ABONO,GROUP
9900110002,158 BUTIL,GROUP
9900110003,26 PBA,GROUP
9900110004,"100 MANILA TEACHERS'",GROUP
9900110005,2 KABAYAN,GROUP
9900110007,130 SENIOR CITIZENS,GROUP
9900110008,175 PBB,GROUP
9900110009,126 PLM,GROUP
9900110010,171 DIWA,GROUP
9900110011,22 AKO BISDAK,GROUP
9900110012,58 ANAC-IP,GROUP
9900110013,156 1 UTAP BICOL,GROUP
9900110014,176 LAANG KAWAL,GROUP
9900110015,44 SULONG DIGNIDAD,GROUP
9900110016,49 ABEKA,GROUP
9900110018,116 ACTS-OFW,GROUP
9900110019,37 GABRIELA,GROUP
9900110020,95 AASENSO,GROUP
9900110021,142 COOP-NATCCO,GROUP
9900110022,36 ANGKLA,GROUP
9900110024,16 CWS,GROUP
9900110025,148 AANGAT TAYO,GROUP
9900110026,83 ACT TEACHERS,GROUP
9900110027,71 1-ANG EDUKASYON,GROUP
9900110028,38 AKO AN BISAYA,GROUP
9900110029,42 KABATAAN,GROUP
9900110031,48 TGP,GROUP
9900110032,78 AKO,GROUP
9900110033,18 RAM,GROUP
9900110034,138 MAGDALO,GROUP
9900110035,88 AKBAYAN,GROUP
9900110036,133 1-APTO,GROUP
9900110037,10 GLOBAL,GROUP
9900110038,1 BAYAN MUNA,GROUP
9900110039,80 MARINO,GROUP
9900110040,117 FICTAP,GROUP
9900110041,163 ABANG LINGKOD,GROUP
9900110042,137 YACAP,GROUP
9900110043,73 ALIF,GROUP
9900110044,131 A TEACHER,GROUP
9900110045,52 ABS,GROUP
9900110046,127 AWAKE,GROUP
9900110048,98 BANAT,GROUP
9900110049,109 KALINGA,GROUP
9900110050,140 1-CARE,GROUP
9900110051,124 ABAMIN,GROUP
9900110052,155 ITO ANG TAMA,GROUP
9900110054,181 AA-KASOSYO PARTY,GROUP
9900110057,139 ANUPA,GROUP
9900110058,103 APPEND,GROUP
9900110059,9 KUSUG TAUSUG,GROUP
9900110060,86 ALAY BUHAY,GROUP
9900110061,12 ANG NARS,GROUP
9900110063,27 AMEPA OFW,GROUP
9900110064,122 1PACMAN,GROUP
9900110065,101 ACT-CIS,GROUP
9900110066,110 MARVELOUS TAYO,GROUP
9900110068,63 KOOP-KAMPI,GROUP
9900110070,134 1-AHAPO,GROUP
9900110071,43 AN WARAY,GROUP
9900110072,30 PRAI,GROUP
9900110073,115 AGAP,GROUP
9900110074,94 METRO,GROUP
9900110076,69 INANG MAHAL,GROUP
9900110078,108 ABAKADA,GROUP
9900110080,132 GP,GROUP
9900110081,177 1AAAP,GROUP
9900110082,97 TRICAP,GROUP
9900110083,93 AVE,GROUP
9900110084,143 MAYPAGASA,GROUP
9900110085,149 KABALIKAT,GROUP
9900110087,104 CONSLA,GROUP
9900110088,55 PM,GROUP
9900110089,20 DUMPER PTDA,GROUP
9900110090,96 ALONA,GROUP
9900110092,3 MAGSASAKA,GROUP
9900110093,67 SBP,GROUP
9900110095,68 PPP,GROUP
9900110097,14 ANAKPAWIS,GROUP
9900110099,54 ANG PROBINSYANO,GROUP
9900110100,164 AGBIAG!,GROUP
9900110101,112 AAMBIS-OWA,GROUP
9900110102,29 BAHAY,GROUP
9900110105,153 AMIN,GROUP
9900110108,7 OFW FAMILY,GROUP
9900110111,166 TUCP,GROUP
9900110112,105 KMM,GROUP
9900110114,170 SAGIP,GROUP
9900110115,74 MATA,GROUP
9900110117,51 AKMA-PTM,GROUP
9900110118,150 BHW,GROUP
9900110188,172 PHILRECA,GROUP
9900110120,141 AKO BICOL,GROUP
9900110122,136 ANG KABUHAYAN,GROUP
9900110125,33 CIBAC,GROUP
9900110127,144 ATING KOOP,GROUP
9900110129,17 PTA,GROUP
9900110130,151 RECOBODA,GROUP
9900110132,82 TAO MUNA,GROUP
9900110133,59 SINAG,GROUP
9900110134,24 APEC,GROUP
9900110135,173 1P,GROUP
9900110136,180 GRECON,GROUP
9900110137,89 PARTIDO SANDUGO,GROUP
9900110140,152 AKO PADAYON,GROUP
9900110141,114 AGRI,GROUP
9900110145,121 SAMAKO,GROUP
9900110147,147 ALENG ENTREP,GROUP
9900110149,79 ABANTE PILIPINAS,GROUP
9900110151,92 AKO BISAYA,GROUP
9900110155,87 BUHAY,GROUP
9900110156,31 JUAN MOVEMENT,GROUP
9900110157,47 ANAKALUSUGAN,GROUP
9900110158,99 TINGOG SINIRANGAN,GROUP
9900110159,65 UNIDO,GROUP
9900110160,75 LPGMA,GROUP
9900110161,169 WOW PILIPINAS,GROUP
9900110165,4 PEACE,GROUP
9900110166,32 BUKLOD FILIPINO,GROUP
9900110168,"84 PEOPLE'S CHAMP",GROUP
9900110169,168 FFP,GROUP
9900110170,8 1-UTAK,GROUP
9900110171,46 ALL-FISH,GROUP
9900110173,72 KAMAIS,GROUP
9900110174,21 LUNTIAN,GROUP
9900110175,39 1-LAMBAT,GROUP
9900110176,91 PROBINSYANO AKO,GROUP
9900110177,35 MURANG KURYENTE,GROUP
9900110179,6 KONTRA BROWNOUT PARTYLIST,GROUP
9900110180,157 DUTERTE YOUTH,GROUP
9900110183,113 TINDERONG PINOY,GROUP
9900110184,53 BH BAGONG HENERASYON,GROUP
9900110185,23 ASEAN,GROUP
9900110189,60 PATROL,GROUP
